"Trial","Subject_Time","Cue_Pos","Target_Pos"
"Valid-300","0.29115","0,0","0,0"
"Valid-100","0.32645","4,0","4,0"
"Valid-100","0.36877","12,12","12,12"
"Invalid-100","0.42761","4,12","8,12"
"Invalid-100","0.34728","0,8","0,8"
"Invalid-300","0.29897","0,8","4,12"
"Invalid-300","0.38693","8,8","4,4"
"Invalid-300","0.13886","8,0","4,4"
"Valid-100","0.33702","8,4","8,4"
"Valid-100","0.361","12,0","12,0"
"Invalid-300","0.34682","4,12","4,0"
"Invalid-100","0.3265","12,12","4,12"
"Valid-300","0.32658","0,12","0,12"
"Invalid-100","0.34686","4,4","8,8"
"Invalid-100","0.40716","0,12","12,12"
"Valid-100","0.37045","8,0","8,0"
"Valid-100","0.32089","0,4","0,4"
"Invalid-100","0.42672","0,12","8,4"
"Valid-300","0.3024","8,0","8,0"
"Valid-300","0.21645","0,8","0,8"
"Valid-100","0.3722","0,4","0,4"
"Valid-100","0.37528","0,8","0,8"
"Invalid-100","0.26402","0,4","4,8"
"Valid-100","0.45339","4,8","4,8"
"Invalid-300","0.25319","4,12","8,0"
"Valid-100","0.20443","8,12","8,12"
"Valid-100","0.33505","0,0","0,0"
"Valid-300","0.7958","12,4","12,4"
"Invalid-100","0.521","8,12","0,4"
"Invalid-300","0.22774","8,8","0,4"
"Invalid-100","0.41061","4,12","0,8"
"Invalid-100","0.35321","8,4","12,0"
"Valid-300","0.10922","4,4","4,4"
"Invalid-100","0.40797","0,4","0,4"
"Invalid-300","0.22839","12,12","4,8"
"Invalid-100","0.29469","8,4","8,12"
"Valid-300","0.20679","12,8","12,8"
"Invalid-100","0.37086","4,8","4,0"
"Invalid-100","0.34448","4,4","8,12"
"Invalid-100","0.34779","12,12","4,4"
"Valid-100","0.33416","0,4","0,4"
"Invalid-100","0.38646","4,12","8,4"
"Invalid-300","0.29239","12,0","4,0"
"Valid-300","0.11303","0,0","0,0"
"Invalid-300","0.24764","12,12","12,12"
"Valid-300","0.16316","0,8","0,8"
"Valid-100","0.36641","4,0","4,0"
"Invalid-300","0.12627","0,8","0,4"
"Valid-300","0.25799","0,4","0,4"
"Invalid-100","0.37658","12,4","8,0"
"Invalid-300","0.25296","0,4","8,12"
"Valid-100","0.35012","8,4","8,4"
"Valid-300","0.069926","12,8","12,8"
"Valid-300","0.19562","0,4","0,4"
"Valid-300","0.26026","4,8","4,8"
"Invalid-100","0.32299","4,4","0,0"
"Valid-100","0.31994","4,12","4,12"
"Valid-300","0.13259","12,4","12,4"
"Valid-100","0.36035","12,0","12,0"
"Invalid-300","0.20341","12,4","8,8"
"Valid-100","0.34567","4,4","4,4"
"Valid-100","0.29685","12,12","12,12"
