Trial,Size,User_Time,User_Input
No-target,8,1.2531,No-target
No-target,8,0.9666,No-target
Conjunction,4,0.71035,Target
Pop-out,4,0.71559,Target
No-target,8,0.93349,No-target
Conjunction,16,0.75834,Target
No-target,16,1.5711,No-target
No-target,4,1.0521,No-target
Conjunction,16,0.72478,Target
Pop-out,12,1.3861,Target
No-target,12,1.1499,No-target
No-target,4,1.0425,No-target
No-target,16,1.1019,No-target
Conjunction,16,0.77723,Target
Pop-out,4,0.81406,Target
No-target,4,0.88288,No-target
No-target,16,1.2897,No-target
No-target,12,0.78477,No-target
No-target,16,1.0463,No-target
Conjunction,4,0.74881,Target
No-target,12,1.063,No-target
Conjunction,16,0.97067,Target
Conjunction,16,0.70387,Target
Pop-out,16,0.86874,Target
No-target,16,1.1987,No-target
No-target,16,1.2549,No-target
No-target,8,1.1177,No-target
Pop-out,16,0.67901,Target
Conjunction,16,1.3065,Target
No-target,4,1.243,No-target
No-target,4,1.0742,No-target
No-target,16,1.4496,No-target
Conjunction,12,0.86834,Target
No-target,16,0.98815,No-target
No-target,8,0.94388,No-target
Pop-out,16,0.66182,Target
Pop-out,8,0.63977,Target
No-target,12,0.86647,No-target
Pop-out,8,0.64621,Target
Conjunction,12,0.77512,Target
Pop-out,12,0.65215,Target
Conjunction,12,0.64358,Target
No-target,12,0.65498,No-target
Conjunction,4,0.70627,Target
No-target,8,0.93332,No-target
Pop-out,8,0.69296,Target
Pop-out,8,0.72895,Target
Conjunction,4,0.74953,Target
No-target,12,1.1298,No-target
Conjunction,16,0.74077,Target
No-target,12,1.0303,No-target
No-target,12,0.85866,No-target
Pop-out,8,0.60437,Target
Pop-out,16,0.81523,Target
Pop-out,8,1.233,Target
Pop-out,8,0.58422,Target
No-target,16,0.86655,No-target
No-target,12,0.98148,No-target
No-target,8,0.81976,No-target
No-target,16,0.90397,No-target
Pop-out,12,0.56476,Target
Conjunction,12,0.64851,Target
No-target,8,0.82395,No-target
No-target,12,0.64048,No-target
Pop-out,4,0.97386,Target
No-target,4,1.0191,No-target
Conjunction,16,0.60786,Target
No-target,12,0.74187,No-target
No-target,16,0.74362,No-target
No-target,4,0.98639,No-target
No-target,12,0.97706,No-target
No-target,16,0.84645,No-target
Conjunction,16,0.62855,Target
Conjunction,4,0.74501,Target
No-target,16,0.92554,No-target
No-target,12,1.0407,No-target
No-target,4,0.70347,No-target
No-target,4,0.72368,No-target
Conjunction,8,0.7932,Target
No-target,8,0.82446,No-target
No-target,4,0.9138,No-target
Conjunction,4,0.83962,Target
No-target,12,0.9218,No-target
No-target,8,0.73058,No-target
Pop-out,8,0.64335,Target
No-target,12,0.85816,No-target
No-target,12,0.88692,No-target
Pop-out,16,0.72693,Target
Pop-out,16,0.74883,Target
Conjunction,16,0.88558,Target
No-target,4,0.86723,No-target
Pop-out,16,0.69385,Target
No-target,16,0.98915,No-target
No-target,4,1.3757,No-target
Pop-out,8,0.56495,Target
Pop-out,12,0.60188,Target
Pop-out,16,0.66287,Target
No-target,8,0.79161,No-target
Pop-out,12,0.9233,Target
Pop-out,4,2.7482,Target
Pop-out,4,0.80258,Target
Pop-out,12,0.61183,Target
Pop-out,4,0.49223,Target
Pop-out,16,0.51443,Target
No-target,8,0.91963,No-target
No-target,8,0.94847,No-target
No-target,4,0.95553,No-target
No-target,12,0.72236,No-target
Pop-out,4,0.78393,Target
No-target,4,0.76626,No-target
Conjunction,16,0.73761,Target
Pop-out,4,0.83101,Target
Conjunction,4,0.70037,Target
Conjunction,4,0.60648,Target
Pop-out,8,0.57949,Target
No-target,4,0.78643,No-target
Conjunction,8,0.67084,Target
No-target,16,1.2948,No-target
No-target,12,1.0638,No-target
Conjunction,4,0.69675,Target
Pop-out,16,1.1646,Target
No-target,12,1.1144,No-target
No-target,12,0.97123,No-target
No-target,16,1.3055,No-target
Conjunction,16,0.75923,Target
No-target,12,1.0514,No-target
No-target,12,0.93273,No-target
Conjunction,4,0.60322,Target
No-target,8,0.91487,No-target
No-target,8,0.78164,No-target
Pop-out,16,0.58142,Target
No-target,4,0.72141,No-target
Conjunction,4,0.7237,Target
No-target,12,0.92531,No-target
No-target,12,0.76423,No-target
No-target,8,1.0439,No-target
No-target,8,0.67977,No-target
Conjunction,12,0.62269,Target
No-target,8,0.61583,No-target
Pop-out,8,0.90916,Target
No-target,4,0.73479,No-target
Conjunction,12,0.80672,Target
Pop-out,16,0.6835,Target
Pop-out,8,0.75882,Target
Pop-out,16,0.48779,Target
No-target,4,1.0247,No-target
No-target,16,0.88506,No-target
Conjunction,16,0.68745,Target
No-target,16,1.1617,No-target
Conjunction,12,0.66428,Target
Pop-out,12,0.53078,Target
Pop-out,16,0.81463,Target
Pop-out,16,0.61503,Target
No-target,8,0.73801,No-target
No-target,4,0.59837,No-target
Conjunction,12,0.64039,Target
No-target,12,0.77319,No-target
Pop-out,4,0.62106,Target
No-target,16,0.74907,No-target
Pop-out,16,1.0124,Target
No-target,16,1.1734,No-target
Pop-out,12,0.62566,Target
Conjunction,12,0.70518,Target
Conjunction,4,0.57334,Target
No-target,12,1.1816,No-target
No-target,16,0.9061,No-target
No-target,8,0.77742,No-target
No-target,12,0.78376,No-target
No-target,16,1.0834,No-target
Pop-out,12,0.65525,Target
Conjunction,4,0.8692,Target
No-target,8,0.78026,No-target
No-target,8,0.82071,No-target
Pop-out,4,0.62948,Target
No-target,8,1.1124,No-target
No-target,4,1.4174,No-target
Conjunction,16,1.0932,Target
No-target,16,0.99673,No-target
Pop-out,8,0.76171,Target
Pop-out,4,0.71401,Target
No-target,8,0.83988,No-target
No-target,4,0.73956,No-target
Conjunction,12,0.50097,Target
Pop-out,8,0.67238,Target
No-target,16,1.2096,No-target
Conjunction,12,0.59832,Target
No-target,8,0.80275,No-target
Pop-out,16,0.61477,Target
No-target,12,1.2324,No-target
Pop-out,4,0.7118,Target
Pop-out,16,0.83024,Target
No-target,12,0.95387,No-target
Conjunction,8,0.76803,Target
Conjunction,16,1.3217,Target
Pop-out,8,0.7555,Target
No-target,4,1.0055,No-target
Pop-out,16,0.6153,Target
Pop-out,4,0.63287,Target
No-target,16,0.77763,No-target
Conjunction,16,0.71159,Target
Pop-out,8,0.81685,Target
Conjunction,8,0.56419,Target
No-target,16,0.6893,No-target
Conjunction,16,0.65072,Target
No-target,16,0.79714,No-target
Conjunction,12,0.55086,Target
Conjunction,8,0.55526,Target
No-target,8,0.72435,No-target
No-target,4,0.65851,No-target
Conjunction,16,0.70262,Target
No-target,16,0.78633,No-target
Conjunction,4,0.78904,Target
Conjunction,4,0.89927,Target
Conjunction,12,0.85412,Target
No-target,8,1.0772,No-target
No-target,8,1.5143,No-target
Pop-out,4,0.69593,Target
No-target,16,1.2626,No-target
Conjunction,16,1.183,Target
No-target,4,1.3625,No-target
No-target,8,0.97268,No-target
No-target,16,1.0997,No-target
No-target,16,1.5804,No-target
No-target,12,1.129,No-target
No-target,8,1.1647,No-target
No-target,8,1.0321,No-target
No-target,12,0.8454,No-target
No-target,8,1.0026,No-target
No-target,4,1.0033,No-target
No-target,4,1.3452,No-target
Pop-out,4,0.62817,Target
Pop-out,4,0.67029,Target
Conjunction,4,0.65951,Target
No-target,4,0.88611,No-target
Pop-out,16,0.62693,Target
Conjunction,12,0.70474,Target
No-target,4,0.90242,No-target
No-target,4,0.93568,No-target
No-target,12,0.72636,No-target
No-target,8,0.94477,No-target
Pop-out,12,0.6878,Target
No-target,12,1.5799,No-target
No-target,8,0.85549,No-target
No-target,4,0.75198,No-target
No-target,16,1.0661,No-target
Pop-out,16,0.58217,Target
No-target,12,0.89142,No-target
No-target,12,0.6408,No-target
Conjunction,4,0.6155,Target
No-target,12,0.89161,No-target
No-target,12,1.0977,No-target
No-target,12,0.69505,No-target
No-target,4,0.85543,No-target
No-target,8,0.65885,No-target
Conjunction,16,1.111,Target
Pop-out,12,0.63475,Target
No-target,4,0.88077,No-target
No-target,4,1.4087,No-target
Conjunction,12,0.78711,Target
No-target,4,1.2504,No-target
Conjunction,12,0.74212,Target
Conjunction,12,0.73447,Target
Conjunction,16,0.71114,Target
No-target,12,1.2521,No-target
Pop-out,8,0.637,Target
No-target,12,0.85849,No-target
No-target,8,0.78126,No-target
Pop-out,4,0.64886,Target
No-target,12,0.73873,No-target
No-target,4,0.75524,No-target
Conjunction,8,0.61987,Target
No-target,12,0.74061,No-target
No-target,4,0.84088,No-target
Pop-out,16,0.5562,Target
Pop-out,12,0.92683,Target
Conjunction,8,1.0433,Target
Pop-out,12,0.60741,Target
No-target,12,1.1116,No-target
Pop-out,8,0.72644,Target
Conjunction,16,0.71473,Target
Pop-out,8,0.51174,Target
Conjunction,8,0.48642,Target
No-target,8,0.66421,No-target
No-target,4,0.67584,No-target
Pop-out,12,0.58418,Target
No-target,12,1.0002,No-target
No-target,4,0.99141,No-target
Conjunction,12,0.58549,Target
Pop-out,4,0.97611,Target
Conjunction,16,0.69289,No-target
Conjunction,4,0.72643,Target
No-target,16,0.98953,No-target
No-target,8,0.96046,No-target
No-target,12,1.5148,No-target
Pop-out,8,0.62034,Target
No-target,4,1.3538,No-target
Pop-out,12,0.94931,Target
Conjunction,8,0.62307,Target
Pop-out,12,0.55718,Target
Conjunction,8,0.95811,Target
Pop-out,4,0.96065,Target
Conjunction,16,1.0317,Target
Conjunction,16,0.71662,Target
No-target,8,1.0085,No-target
No-target,8,1.0569,No-target
No-target,16,1.1986,No-target
No-target,8,0.85145,No-target
Pop-out,8,1.0438,Target
No-target,16,1.6413,No-target
Conjunction,16,1.3063,Target
No-target,12,1.3046,No-target
No-target,16,1.4566,No-target
Pop-out,4,0.87686,Target
No-target,12,1.6302,No-target
Conjunction,16,0.96782,Target
No-target,16,1.0376,No-target
Conjunction,4,0.61686,Target
No-target,16,0.9485,No-target
Conjunction,8,1.1947,Target
No-target,4,0.92949,No-target
Conjunction,12,0.65608,Target
Pop-out,12,0.71698,Target
No-target,4,0.84109,No-target
Conjunction,16,1.0772,Target
Conjunction,16,1.0037,Target
No-target,8,1.239,No-target
Conjunction,8,0.89014,Target
Conjunction,4,0.6463,Target
Conjunction,12,0.56452,Target
Pop-out,4,0.52921,Target
No-target,8,1.073,No-target
Pop-out,8,0.70004,Target
No-target,16,2.1174,No-target
Conjunction,4,1.1182,Target
Conjunction,8,0.7674,Target
No-target,8,0.92448,No-target
No-target,8,0.81923,No-target
No-target,12,1.2159,No-target
No-target,4,1.2537,No-target
No-target,8,1.0269,No-target
No-target,8,1.398,No-target
Conjunction,4,0.93176,Target
No-target,16,1.1162,No-target
Pop-out,16,0.70383,Target
No-target,4,0.77873,No-target
No-target,12,0.91861,No-target
Pop-out,4,0.66807,Target
Pop-out,8,0.96539,Target
No-target,12,0.90517,No-target
No-target,12,1.2387,No-target
Pop-out,16,0.73953,Target
No-target,8,1.0156,No-target
No-target,4,0.80966,No-target
No-target,4,0.96513,No-target
No-target,16,0.94824,No-target
No-target,12,1.3172,No-target
Pop-out,8,1.0271,Target
Pop-out,4,0.80912,Target
Conjunction,8,0.68449,Target
No-target,8,0.93203,No-target
Pop-out,12,0.83157,Target
Conjunction,16,1.0455,Target
No-target,4,1.1219,No-target
