No-target,0.55288,No-target,Size 4
No-target,0.492,Target,Size 4
Conjunction,0.41038,Target,Size 4
Conjunction,0.41248,Target,Size 4
Pop-out,0.4317,Target,Size 4
No-target,0.57654,No-target,Size 4
No-target,0.46914,No-target,Size 4
No-target,0.53782,No-target,Size 4
No-target,0.48222,No-target,Size 4
Conjunction,0.48424,No-target,Size 4
Conjunction,0.46442,Target,Size 4
Conjunction,0.49486,Target,Size 4
Pop-out,0.44268,Target,Size 4
Pop-out,0.41259,Target,Size 4
Pop-out,0.40749,Target,Size 4
Conjunction,0.41638,Target,Size 4
Conjunction,0.41921,Target,Size 4
No-target,0.59544,No-target,Size 4
No-target,0.51238,No-target,Size 4
No-target,0.48887,No-target,Size 4
No-target,0.47165,No-target,Size 4
Pop-out,0.60398,Target,Size 4
Conjunction,0.46767,Target,Size 4
Conjunction,0.65633,Target,Size 4
No-target,0.41879,No-target,Size 4
No-target,0.65668,No-target,Size 4
Pop-out,0.5301,Target,Size 4
Conjunction,0.52091,Target,Size 4
Pop-out,0.43605,Target,Size 4
No-target,0.44798,No-target,Size 4
No-target,0.51104,No-target,Size 4
Pop-out,0.59618,Target,Size 4
No-target,0.77843,Target,Size 4
No-target,0.61284,No-target,Size 4
No-target,0.47064,No-target,Size 4
Pop-out,0.5942,Target,Size 4
Pop-out,0.54916,No-target,Size 4
Conjunction,0.61306,Target,Size 4
Conjunction,0.50467,Target,Size 4
No-target,0.75429,No-target,Size 8
No-target,0.56322,No-target,Size 8
Conjunction,0.53163,Target,Size 8
No-target,0.5311,No-target,Size 8
No-target,0.5258,No-target,Size 8
No-target,0.59534,No-target,Size 8
No-target,0.52811,No-target,Size 8
No-target,0.56717,No-target,Size 8
Pop-out,0.55041,Target,Size 8
No-target,0.59629,No-target,Size 8
Conjunction,0.60863,Target,Size 8
Pop-out,0.45666,Target,Size 8
Pop-out,0.50911,Target,Size 8
Pop-out,0.44281,Target,Size 8
Conjunction,0.48737,Target,Size 8
No-target,0.50364,No-target,Size 8
Pop-out,0.44773,No-target,Size 8
No-target,0.55198,No-target,Size 8
Pop-out,0.50784,Target,Size 8
No-target,0.62176,No-target,Size 8
No-target,0.72961,No-target,Size 8
Pop-out,0.4531,Target,Size 8
Pop-out,0.43296,Target,Size 8
Conjunction,0.56172,Target,Size 8
Pop-out,0.43163,Target,Size 8
No-target,0.70987,No-target,Size 8
No-target,0.53943,No-target,Size 8
No-target,0.6761,No-target,Size 8
Pop-out,0.54271,Target,Size 8
Conjunction,0.4978,Target,Size 8
Conjunction,0.50241,Target,Size 8
Conjunction,0.47954,Target,Size 8
No-target,0.54115,No-target,Size 8
No-target,0.48375,No-target,Size 8
No-target,0.49929,No-target,Size 8
No-target,0.55431,No-target,Size 8
No-target,0.56536,No-target,Size 8
No-target,0.42435,No-target,Size 8
No-target,0.42449,No-target,Size 8
Pop-out,0.60931,Target,Size 8
No-target,0.56349,No-target,Size 8
Pop-out,0.44206,Target,Size 8
No-target,0.61701,No-target,Size 8
No-target,0.63701,No-target,Size 8
No-target,0.51733,No-target,Size 8
Conjunction,0.43755,Target,Size 8
No-target,0.47998,No-target,Size 8
Conjunction,0.47381,Target,Size 8
Conjunction,0.56011,Target,Size 8
Conjunction,0.6931,Target,Size 8
Pop-out,0.40405,Target,Size 8
No-target,0.57608,No-target,Size 8
No-target,0.55392,No-target,Size 8
